University Name,Name
Yale University,Mark Rosenzweig
Yale University,Nicholas Ryan
Yale University,Larry Samuelson
Yale University,Anna Sanktjohanser
Yale University,Robert J. Shiller
Yale University,Tony Smith
Yale University,Aleh Tsyvinski
Yale University,Ed Vytlacil
Yale University,Ebonya Washington
Yale University,Fabrizio Zilibotti
Yale University,Jason Abaluck
Yale University,Sigridur Benediktsdottir
Yale University,Xi Chen
Yale University,Nicholas Christakis
Yale University,Joyee Deb
Yale University,Ravi Dhar
Yale University,Florian Ederer
Yale University,Howard Forman
Yale University,Shane Frederick
Yale University,Soheil Ghili
Yale University,Kyle Jensen
Yale University,Edward H Kaplan
Yale University,Vineet Kumar
Yale University,Sanjeev Kumar
Yale University,Alan Moreira
Yale University,Aniko Oery
Yale University,Stephen Roach
Yale University,Jiwoong Shin
Yale University,Olav Sorenson
Yale University,David Swensen
Yale University,Dean Takahashi
Yale University,Sekhar Tatikonda
Yale University,Jacob Thomas
Yale University,Kosuke Uetake
Yale University,Kevin Williams
Yale University,Frank Zhang
Yale University,Jidong Zhou
Yale University,Marnix Amand
Yale University,Evangelia Chalioti
Yale University,William English
Yale University,William Hawkins
Yale University,Tolga Koker
Yale University,Guillermo Noguera
Yale University,John Rapaport
Yale University,María Sáez Martí
Yale University,Michael Schmertzler
Yale University,Katerina Simons
Yale University,John Tang
Yale University,Nicholas Barberis
Yale University,Lorenzo Caliendo
Yale University,Judy Chevalier
Yale University,James Choi
Yale University,Zack Cooper
Yale University,William English
Yale University,Joan Feigenbaum
Yale University,Jonathan S. Feinstein
Yale University,Alan Gerber
Yale University,Stefano Giglio
Yale University,Kenneth Gillingham
Yale University,William Goetzmann
Yale University,Gary Gorton
Yale University,Robert Jensen
Yale University,Matthew Kotchen
Yale University,James Levinsohn
Yale University,Robert O. Mendelsohn
Yale University,Andrew Metrick
Yale University,Toby Moskowitz
Yale University,Barry Nalebuff
Yale University,Sharon M. Oster
Yale University,David Pollard
Yale University,John E. Roemer
Yale University,K. Geert Rouwenhorst
Yale University,Peter Schott
Yale University,Fiona Scott Morton
Yale University,Kelly Shue
Yale University,Jody Sindelar
Yale University,Edward A. Snyder
Yale University,Matthew Spiegel
Yale University,Shyam Sunder
Yale University,Heather Tookes Alexopoulos
Yale University,Ernesto Zedillo
Northwestern University,Eric Auerbach
Northwestern University,Lori Beaman
Northwestern University,David Berger
